년월,순위,카테고리,기사수,비율,월전체기사수,키워드1,빈도1,키워드2,빈도2,키워드3,빈도3,키워드4,빈도4,키워드5,빈도5,키워드6,빈도6,키워드7,빈도7,키워드8,빈도8,키워드9,빈도9,키워드10,빈도10
2025-12,1,주식투자/트레이딩,1310,31.4%,4178,증권,608,투자자,449,금,403.0,코스닥,258.0,상장,204.0,코스피,194.0,반도체,144.0,AI,144.0,주가,136.0,은행,123.0
2025-12,2,부동산/실물자산,817,19.6%,4178,금,524,부동산,333,분양,85.0,은행,71.0,달러,37.0,경쟁력,36.0,AI,34.0,아파트,30.0,전세,25.0,반도체,24.0
2025-12,3,테크/스타트업,749,17.9%,4178,AI,558,반도체,288,인공지능,152.0,스타트업,89.0,중국,54.0,금,44.0,테슬라,43.0,경쟁력,41.0,휴머노이드,34.0,자율주행,31.0
2025-12,4,기업경영/리더십,399,9.6%,4178,경쟁력,232,AI,69,회장,67.0,경영자,60.0,CEO,56.0,매출,28.0,경영진,23.0,반도체,23.0,조직,17.0,금,14.0
2025-12,5,지정학/국제정세,346,8.3%,4178,중국,250,관세,55,반도체,52.0,대만,39.0,금,38.0,AI,27.0,경쟁력,27.0,러시아,24.0,우크라,18.0,달러,11.0
2025-12,6,거시경제/금융정책,225,5.4%,4178,은행,123,금,120,금리,87.0,한은,66.0,중앙은행,48.0,인플레이션,41.0,환율,35.0,GDP,31.0,AI,16.0,반도체,15.0
2025-12,7,재테크/개인금융,150,3.6%,4178,금,129,연금,59,보험,54.0,은행,38.0,원금,20.0,저축,19.0,예금,15.0,한은,12.0,금리,10.0,계좌,7.0
2025-12,8,금융시스템/위기,82,2.0%,4178,은행,63,신용,33,금,17.0,부채,9.0,화폐,8.0,한은,7.0,저축,5.0,금리,3.0,AI,3.0,예금,2.0
2025-12,9,투자철학/대가,73,1.7%,4178,주주,72,금,26,은행,11.0,경영진,4.0,배당금,3.0,중국,3.0,부동산,3.0,스타트업,2.0,전쟁,2.0,연금,2.0
2025-12,10,경제이론/학술,27,0.6%,4178,모델,19,경제학자,7,금,1.0,행동경제학,1.0,이론,1.0,,,,,,,,,,
